Ort;Zusatz;Plz;Vorwahl;Bundesland,,
Altomuenster;;85250;08254;Bayern,,
Altona;bei Eldena an der Elde;19294;038755;Mecklenburg-Vorpommern,,
Altottenhain;;04643;;Sachsen,,
Altoetting;;84503;08671;Bayern,,
Altreetz;;16259;033457;Brandenburg,,
Altrich;;54518;06571;Rheinland-Pfalz,,
Altrip;, Kreis Ludwigshafen am Rhein;67122;06236;Rheinland-Pfalz,
Alt-Schadow;;15910;035473;Brandenburg,,
Altscheid;;54636;06527;Rheinland-Pfalz,,
Altshausen;;88361;07584;Baden-Wuerttemberg,,
Altstrimmig;;56858;06545;Rheinland-Pfalz,,
Alt-Suehrkow;;17166;03996;Mecklenburg-Vorpommern,,
Altthymen;;16798;033093;Brandenburg,,
Alttrebbin;;16259;033474;Brandenburg,,
Altusried;;87452;08373;Bayern,,
Altwarp;;17375;039773;Mecklenburg-Vorpommern,,
Altweidelbach;;55469;06761;Rheinland-Pfalz,,
Altwigshagen;;17379;039777;Mecklenburg-Vorpommern,,
Altwittenbek;;24214;0431;Schlewig-Holstein,,
Altwustrow;;16259;033457;Brandenburg,,
Alveslohe;;25486;04193;Schlewig-Holstein,,
Alzenau;, Unterfranken;63755;06023;Bayern,
Alzey;;55232;06731;Rheinland-Pfalz,,
Am Jaegerberg;;21227;;Niedersachsen,,
Am Quicken;;82493;;Bayern,,
Am Rainberge;;34497;;Hessen,,
Am Roemerhof;;61200;;Hessen,,
Am Roemerschacht;;61200;;Hessen,,
Am Roenndeich;;21706;;Niedersachsen,,
Am Ruedesheimer Hafen;, Rheingau;65385;;Hessen,
Am Sandkopf;Gemeinde Fuldatal;34127;;Hessen,,
Am Sandweiher;;66849;06371;Rheinland-Pfalz,,
Am Springberg;;76889;;Rheinland-Pfalz,,
Am Tekenberge;;38350;05355;Niedersachsen,,
Amalienfelde;;16766;033055;Brandenburg,,
Amberg;bei Buchloe;86854;08241;Bayern,,
Amberg;, Oberpfaffen;92224;09621;Bayern,
Amelinghausen;;21385;04132;Niedersachsen,,
Amerang;;83123;08075;Bayern,,
Amerdingen;;86735;09008;Bayern,,
Amesdorf;;39439;039262;Sachsen-Anhalt,,
Ammeldingen;bei Neuerburg;54673;06564;Rheinland-Pfalz,,
Ammeldingen;an der Our;54675;06566;Rheinland-Pfalz,,
Ammelstaedt;;07407;03672;Thueringen,,
Ammerbuch;;72119;07073;Baden-Wuerttemberg,,
Ammern;;99974;03601;Thueringen,,
Ammerndorf;;90614;09127;Bayern,,
Ammersbek;;22949;04532;Schlewig-Holstein,,
Ammerthal;, Oberpfaffen;92260;09628;Bayern,
Amoeneburg;;35287;06429;Hessen,,
Amorbach;;63916;09373;Bayern,,
Ampfing;;84539;08636;Bayern,,
Ampfurth;;39387;039407;Sachsen-Anhalt,,
Amsdorf;;06317;034601;Sachsen-Anhalt,,
Amselgraben;bei Waging am See;83329;;Bayern,,
Amstetten;, Baden-Wuerttemberg;73340;07331;Baden-Wuerttemberg,
Amtsberg;;09439;037209;Sachsen,,
Amtzell;;88279;07520;Baden-Wuerttemberg,,
An der Chaussee;bei Friedrichstadt, Eider;25840;;Schlewig-Holstein,
An der Rhumequelle;bei Gieboldehausen;37434;;Niedersachsen,,
Andechs;;82346;08152;Bayern,,
Andenhausen;;36452;036964;Thueringen,,
Anderbeck;;38836;039422;Sachsen-Anhalt,,
Anderlingen;;27446;04284;Niedersachsen,,
Andernach;;56626;02632;Rheinland-Pfalz,,
Andervenne;;49832;05902;Niedersachsen,,
Andisleben;;99189;036201;Thueringen,,
Andrichstadt;;83364;08662;Bayern,,
Angelbachtal;;74918;07265;Baden-Wuerttemberg,,
Angelburg;, Hessen;35719;06464;Hessen,
Angelhof I und II;;67346;;Rheinland-Pfalz,,
Angelroda;;99338;036207;Thueringen,,
Anger;bei Bad Reichenhall;83454;08656;Bayern,,
Anger;, Gemeinde Frauenneuharting;83565;08656;Bayern,
Angermuende;;16278;03331;Brandenburg,,
Angern;bei Wolmirstedt;39326;039363;Sachsen-Anhalt,,
Angersdorf;bei Halle, Saale;06179;0345;Sachsen-Anhalt,
Angl;bei Woernsmuehl;83739;08064;Bayern,,
Anhausen;, Kreis Neuwied;56584;02639;Rheinland-Pfalz,
Ankermuehle;bei Heilbad Heiligenstadt;37308;;Thueringen,,
Ankershagen;;17219;039921;Mecklenburg-Vorpommern,,
Anklam;;17389;03971;Mecklenburg-Vorpommern,,
Ankum;;49577;05462;Niedersachsen,,
Anna Luisenhof;;18239;038207;Mecklenburg-Vorpommern,,
Annaberg;bei Bad Duerkheim;67098;;Rheinland-Pfalz,,
Annaberg-Buchholz;;09456;03733;Sachsen,,
Annaburg;, Sachsen-Anhalt;06925;035385;Sachsen-Anhalt,
Annahuette;;01994;035754;Brandenburg,,
Annarode;;06308;034772;Sachsen-Anhalt,,
Anning;bei St. Georgen, Chiemgau;83368;08621;Bayern,
Annweiler;am Trifels;76855;06346;Rheinland-Pfalz,,
Anroechte;;59609;02947;Nordrhein-Westfalen,,
Ansbach;, Mittelfranken;91522;0981;Bayern,
Anschau;;56729;02656;Rheinland-Pfalz,,
Antdorf;;82387;08856;Bayern,,
Antrifttal;;36326;06692;Hessen,,
Antweiler;bei Adenau;53533;02693;Rheinland-Pfalz,,
Anzing;bei Muenchen;85646;08121;Bayern,,
Apelern;;31552;05043;Niedersachsen,,
Apen;;26689;04489;Niedersachsen,,
Apenburg;;38486;039001;Sachsen-Anhalt,,
Apensen;;21641;04167;Niedersachsen,,
Apfeldorf;;86974;08869;Bayern,,
Apfelstaedt;;99192;036202;Thueringen,,
Apfeltrach;;87742;08261;Bayern,,
Apolda;;99510;03644;Thueringen,,
Appel;, Nordheide;21279;04168;Niedersachsen,
Appelbeck;;21279;04165;Niedersachsen,,
Appeln;;27616;04747;Niedersachsen,,
Appen;, Kreis Pinneberg;25482;04101;Schlewig-Holstein,
Appenheim;, Rheinhess;55437;06725;Rheinland-Pfalz,
Appenrode;bei Ellrich;99768;036331;Thueringen,,
Appensee;;74597;07967;Baden-Wuerttemberg,,
Appenweier;;77767;07805;Baden-Wuerttemberg,,
Apperting;;83376;08667;Bayern,,
Arbach;;56769;02657;Rheinland-Pfalz,,
Arberg;;91722;09822;Bayern,,
Aremberg;, Eifel;53533;02693;Rheinland-Pfalz,
Arendsee;bei Prenzlau;17291;039855;Brandenburg,,
Arendsee;(Altmark);39619;039384;Sachsen-Anhalt,,
Arenrath;;54518;06575;Rheinland-Pfalz,,
Arensdorf;bei Koethen, Anhalt;06369;034975;Sachsen-Anhalt,
Arensdorf;bei Fuerstenwalde, Spree;15518;033635;Brandenburg,
Arenshausen;;37318;036081;Thueringen,,
Arensnest;;14827;033849;Brandenburg,,
